Gun_000,1,1,0,0,0 0 0 41 107 214 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0010,1,1,0,1,0 0 10 220 89 244 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0020,1,1,0,2,0 0 20 318 198 322 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0030,1,1,0,3,0 0 30 344 305 65 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0040,1,1,0,4,0 0 40 241 267 241 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0050,1,1,0,5,0 0 50 131 115 62 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0060,1,1,0,6,0 0 60 147 36 351 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0070,1,1,0,7,0 0 70 204 302 153 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0080,1,1,0,8,0 0 80 292 142 141 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_0090,1,1,0,9,0 0 90 356 278 95 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_00100,1,1,0,10,0 0 100 47 126 11 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_00110,1,1,0,11,0 0 110 18 69 112 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_00120,1,1,0,12,0 0 120 107 19 115 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_00130,1,1,0,13,0 0 130 174 263 51 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_00140,1,1,0,14,0 0 140 2 93 33 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
Gun_00150,1,1,0,15,0 0 150 344 21 151 0.1 0.1 0.1,,AR.fbx,AR.fbx_0 AR.fbx_1
